Complexity,Loss,Equation
1,120832.91,"174.86742"
3,2949.7778,"x0 * 117.86174"
5,2318.12,"(x0 * 122.420334) - 29.217424"
7,2170.8374,"(x0 * (x0 + 113.71283)) + -25.389124"
8,695.2443,"square(x0 * ((x0 * -0.28003845) + 6.2500887))"
10,30.407959,"(square(x0) * ((x0 * -5.9589696) + 112.94558)) * x1"
12,14.042501,"square((x0 * ((x0 * -0.40614006) + 11.519977)) + -1.609074) * x1"
14,5.6007166,"square((x0 * (11.3434515 + (x1 + (x0 * -0.40492827)))) + -2.2110639) * x1"
16,4.487454,"(square((x0 * (((x0 * -0.4048529) + x1) + 11.338089)) + -2.1285226) * x1) - 1.2664849"
18,3.3925812,"((square((x0 * (x1 + ((x0 * -0.41021103) + 11.421591))) + -2.3856826) - -8.314851) * x1) + -4.3534026"
20,2.8790777,"((x1 * (square((((x0 * -0.4121971) + 11.332889) + x1) * (-0.21605578 + x0)) - -15.878203)) + x0) - 6.6962976"
22,2.8268054,"(x1 * (square((((x0 * -0.41191357) + 11.33166) + x1) * (x0 + -0.2166992)) - -15.883329)) + ((x0 - 7.119537) + x1)"
24,2.810843,"((((square((x0 + -0.2175066) * ((x0 * -0.4119419) + (x1 + 11.332874))) - -18.732553) * x1) - 6.1572595) - x1) - (1.2276303 - x0)"
27,2.7991424,"(((square((x1 + ((x0 * -0.46239284) + 12.75945)) * (x0 + -0.20689406)) - (-17.14208 - x1)) * 0.79601884) * x1) - square(2.5213566 - (x1 * 0.26912484))"
28,2.7924135,"(x1 * ((square((x0 + -0.205898) * (((x0 * -0.45979142) + 12.698179) + x1)) - (-17.143145 - square(x1))) * 0.8027412)) - square(2.5124826 - (x1 * 0.275272))"
30,2.7564197,"((((square(square(x1) + x1) + (square((x0 + -0.36492175) * (((x0 * -0.41554213) + 11.234091) + x1)) + (x0 * 44.07524))) * x1) - x0) + -5.607367) + x1"
