Complexity,Loss,Equation
1,0.31923008,"0.04406246"
3,0.16692837,"x0 * 0.11754874"
4,0.14670222,"square(x0 * -0.12031108)"
5,0.13431837,"(x0 * 0.14944845) + -0.20968834"
6,0.12722735,"square(x0 * (x1 / 1.9013172))"
8,0.097872175,"(square(x1 * x0) * 0.3305223) - 0.19163412"
10,0.08722741,"square(x0 * (x1 + -0.10883139)) - (x1 + -0.10883139)"
12,0.05705918,"square((x0 * ((x1 * -1.3500149) + 0.14944845)) + x1) + -0.29276982"
14,0.028909918,"(square((((x1 * -1.3491143) + 0.21519399) * x0) + x1) - 0.13141069) / x1"
15,0.020306118,"((x0 * x1) - 1.0681578) * (x0 + (((x0 - -0.48016307) * x0) * -0.085408695))"
17,0.0072694863,"((x0 * x1) - 1.1165096) * ((x0 + ((x0 * -0.095949985) * (x0 - 1.2030104))) * 0.6974097)"
19,0.0072694854,"(((x1 * x0) - 1.1165016) / x1) * ((((x0 * (x0 * -0.0860202)) + x0) * x1) / 1.2855505)"
21,0.0044900435,"(x1 / (x1 + 0.9186096)) * (((((x0 * x0) * -0.083047524) + x0) / 0.31425166) * ((x1 * x0) - 1.0874584))"
26,0.004039046,"((((x0 + (((x0 * 0.15463221) + (square(x1) - 0.9464014)) * (x0 * -1.0222405))) * x1) / 1.8490752) * ((x1 * x0) + -1.0868644)) / 0.38209304"
28,0.003876398,"((((x0 * x1) + -0.12989597) - 0.95605433) / 0.3826202) * ((x0 + ((((square(x1) - 0.8233617) + (x0 * 0.13390456)) * x0) * -1.1881232)) * (x1 / 1.8390702))"
