Complexity,Loss,Equation
1,5.188437,"1.7140478"
3,2.9902706,"x0 * 4.9055095"
5,1.4341292,"(x1 * 14.531769) * x0"
6,0.36264393,"square((x0 * x1) * -7.9115057)"
8,0.21533783,"(square(x0 * x1) * 71.331276) - 0.5465095"
10,0.13070148,"square(x0 * ((x1 * -9.593006) + 0.5117586)) + -0.49962023"
11,0.1240004,"square((x1 * x0) * (square(x0) - 8.9513645)) - 0.6160215"
12,0.08299807,"square(((x1 * 8.544936) - (x0 - 0.6927389)) * x0) - 0.6933166"
13,0.077402405,"square(square(x0 + -0.3586146) - ((x1 * 8.863954) * x0)) - 0.5631567"
15,0.07490768,"square(square(x0 + -0.27755392) - ((9.332981 * (x0 + -0.019917766)) * x1)) - 0.5323849"
16,0.062112503,"square(((x0 * (x0 - ((x1 * 4.288582) - -0.971482))) * 2.0205653) + 0.43555978) - 0.4860729"
17,0.059964918,"(square(((x0 - 1.2286947) - (x1 * 7.97111)) * x0) + -0.43596214) - square(x0 + 0.4116359)"
18,0.049247228,"square(((x0 - ((x1 * 4.222273) - -1.1089935)) * (x0 * 1.9394355)) + 0.3372524) - (x0 - -0.40966764)"
20,0.04493884,"square(((x0 - ((x1 * 3.436965) - -1.1004084)) * (x0 * 2.3415434)) + 0.5014593) - ((0.6986575 - x1) + 0.30465543)"
22,0.026752947,"(square((((x0 - ((x1 * 3.9854298) - -1.1097634)) * x0) * 1.9987469) + 0.42172608) - (x1 + (0.39043996 / x1))) + 0.9535812"
26,0.024974775,"(((square(((x0 * 1.8684665) * (x0 - ((x1 * 4.048257) - -1.2388796))) + 0.30813298) - ((0.37309942 / x1) + x1)) + 1.3645526) - 0.37765554) - x0"
