Complexity,Loss,Equation
1,0.32300806,"0.050432507"
3,0.16581962,"x0 * 0.1198578"
4,0.14604898,"square(x0) * 0.014824279"
5,0.13393393,"(x0 * 0.15164205) - 0.20764779"
6,0.12544015,"square((x0 * x1) * 0.5305297)"
8,0.09660834,"square((x1 * -0.57919616) * x0) - 0.19026834"
10,0.06670631,"square(((0.049549684 - x1) * x0) + 0.39872214) - 0.2646824"
12,0.046865072,"square((x1 - 0.14741963) * ((x0 + -1.2015764) * 1.897863)) + -0.30092624"
14,0.036224283,"square((0.15823193 - ((x0 + -0.7058522) * (x1 - 0.13380317))) * 1.959099) + -0.39765793"
15,0.017436936,"square(square(x0 * -0.11052507) + (0.7409749 - (x1 * (x0 * 1.4821129)))) - 0.55903864"
16,0.009540768,"square((((square(square(x0 * -0.13303457)) - x0) * 1.338969) * x1) + 0.7387841) - 0.561411"
17,0.006388345,"square((0.5881963 - ((x0 * 1.2720679) * x1)) + square((3.1595263 - x0) * 0.14014195)) - 0.60848355"
19,0.0058391234,"square((square((3.4917557 - x0) * -0.14337593) - (x1 * ((x0 * 1.2275337) + 0.04282616))) + 0.5512573) - 0.6098675"
20,0.0049782437,"square(square(x1) - (square((x0 * -0.15751189) + 0.76490355) + ((x1 - (x0 * x1)) * 0.96496993))) - 0.61935294"
22,0.0045515453,"(square((square((x0 * -0.152396) + 0.75678253) - square(x1)) + ((x1 - (x0 * x1)) * 0.88119376)) - 0.55205894) * 1.1859668"
24,0.0041844435,"square(square(-0.065043725 - x1) - ((x1 - (((x1 * x0) * 1.0153738) - 0.099718176)) + square((x0 * -0.15630683) + 0.73619914))) - 0.6460187"
26,0.0027555306,"(square(square(x1) - (square((x0 * -0.15810925) + 0.7680391) + (x1 - ((x0 * x1) - 0.021296242)))) - (0.59011 / (x1 + 0.681082))) + -0.08566568"
