Complexity,Loss,Equation
1,2.3820956,"1.0661126"
3,0.9005433,"x1 * x0"
5,0.7621734,"x1 * (x0 - x1)"
7,0.38579184,"((x1 * 1.8021827) * x0) - 1.4774925"
8,0.3411669,"(x1 * h_inc2(x0, 0.061883304)) + -1.272442"
9,0.2673309,"((x0 * x1) - 1.0989239) * (x0 * x1)"
10,0.13809371,"(x1 * (x1 * h_inc2(x0, 0.009505605))) - 0.9191503"
11,0.07605289,"(h_inc2(x0, 0.009431465) * h_inc2(x1, x1)) - 0.67473817"
12,0.050829515,"((x0 * h_inc1(x0, 0.14088926)) * (x1 - 0.1767154)) - 0.7800752"
14,0.037573908,"((((x1 - 0.12517008) * h_inc1(x0, 0.12758279)) - 0.25847265) * x0) - 0.50229955"
15,0.020496696,"x0 * ((h_inc1(x0, 0.14733213) * (x1 - 0.18972431)) - h_dec2(x0, 0.6406008))"
17,0.014921265,"((((x1 - 0.17950669) * x0) - h_inc2(x0, x0)) * h_inc1(x0, 0.12776983)) - 0.2945957"
19,0.013379412,"(x0 * ((h_inc1(x0, 0.1600648) - -0.29200393) * ((x1 - 0.17488168) - h_dec2(x0, 0.81661874)))) - 0.13186893"
21,0.01001828,"(((x1 - 0.1787189) - h_dec2(x0, 0.8336714)) * (h_inc1(x0, 0.14643079) * (x0 - -0.36479318))) - (x1 * 0.2700744)"
22,0.009262852,"((((x1 - 0.18521449) - h_dec2(x0, 1.057473)) * h_inc1(x0, 0.13576989)) * x0) - (h_inc2(x0, x0) * 0.9107928)"
23,0.007877664,"(h_inc1(x0, 0.1499875) * ((x0 - -0.5071989) * ((x1 - 0.18256938) - h_dec2(x0, 0.75859314)))) - ((x1 * 0.5580486) - 0.33443493)"
26,0.007481333,"(((x1 - 0.18567662) - h_dec2(x0, 0.7470912)) * ((x0 - -0.62791073) * h_inc1(x0, 0.15230644))) - (h_dec2(x1, 1.0347174) * (x1 - 0.6007588))"
27,0.0053370106,"(((((x1 - 0.21702978) - h_dec2(x0, 0.69146705)) * h_inc1(x0, 0.15928754)) * (x0 - -0.5938963)) - (x1 * 0.549447)) - ((x0 - -2.2211504) * -0.15540558)"
29,0.0050571086,"(((((x1 - 0.22025236) - h_dec2(x0, 0.6860758)) * (h_inc1(x0, 0.15635961) * (x0 - -0.52513045))) - (x1 * 0.4706285)) - 0.09066982) - ((x0 - -2.2325852) * -0.1733013)"
